FYWG722349MBCNDE71,PT
VJRX752520MSRFRI35,PVEM
TGOS073650MSRXIA40,PVEM
BADA108287MCMQIZ85,PVEM
ORZP292503MOCUUZ83,PRD
WLBA516120HVZZSR78,PVEM
UUZP312818MCMDEW93,MORENA
FGCM612652HDFVRR83,MORENA
QFJO451715HPLXUV24,MC
GOOT626206MVZVFO98,PT
RIFO455511HCLHWX82,PAN
JJZQ510807MTLTFE10,PRD
DNFA530102HHGFHC27,MC
KQCV296343HTLPCP83,PRI
VNRB480012HYNHHY19,PAN
TMRA844750HZSJKS82,PAN
BUNP975022HQTWHL82,PT
WDAG725977HNTLBX01,MORENA
GBGA220768MMCVWS67,PVEM
ZVXF546837MVZIWK92,MORENA
FQFH035811MQRDXB62,PAN
UALG612740HSLBYK91,PAN
FEDF610902HASBBP15,MC
NWPL932403HJCJCE33,PVEM
LJCV143760HMNLSM52,PRD
OAAK817954MMNTGZ59,PRI
NEIA518729HGTMCN14,MORENA
EARB250878MSLZDT89,MORENA
AXCO791970HYNTAX59,PAN
RHCM238564HSLKNQ77,PRI
HBBL232989HMNBAT52,MORENA
CFWU052316MCHIZA41,PAN
LWHP133547HCLDTN75,PRI
TFXI288141HDGJAP37,MORENA
RFPL585893MMCPKI63,PAN
IEFF430467HHGCZB85,MC
ISDE859457HQTSJZ07,MC
JCBJ949392MCMYJN40,PRI
XOSW722204HZSMTB79,PVEM
SSNL525832MPLBFG01,PVEM
AXDJ607964HSPFJM36,PAN
JJEM038935MDGWFA13,MORENA
FVTF260350MBSALL41,PRI
BQDE504611MMCAMC10,MC
JUAI702402HBCYAB43,PT
SNKG314656HCHOSM67,PRD
VNVB383704HCSLFA00,MC
VJSZ024998HBCIED67,PAN
CKNB759331HPLIPG12,PVEM
XBDY972482MGTVOU65,PT
KRBF026646HCCYZO15,PAN
MRHQ268615HQTBCP09,PAN
IQNB366330HOCBII12,MORENA
RSQY296267MNTHIX01,MORENA
RUMZ310363MTSDUY82,MC
BDGC173814MMNIMG90,MC
YPCL929278MTSAGP98,MC
XBSR171051MTSONX99,PAN
HAGE001758MCSUOZ08,MORENA
IAZR761491HBCXET88,PRI
ITZH064511MZSEOS84,MORENA
INFV845344MDFMBQ29,MC
YTCW097838HTLFIU71,PVEM
DAXU425223MVZRAE32,PVEM
AFJF292954MJCSAV60,PRI
SRIB192637HCSKVD63,PRI
XKKF526431MMNSFL59,PRI
AOTO509310MDFGAW17,PRD
CFFF029294MBCOXQ54,PVEM
JCAW288965HPLPBP48,PRD
EALK971034HMCJRR59,PVEM
EXSC894283HNTYRL76,PT
ZCYF237982MDGOAE60,PT
FUWT046199HVZYYQ85,MC
BCGM400423HQRNPI96,MORENA
MQII323965HNLJRV89,PT
RFVW081044MBCNBW49,MORENA
ENTM147240MSRPVM37,PVEM
LAMH578803HSPZDV07,PRD
JEAC538902MVZGRZ02,PT
MXQB634367MSLVFZ58,MORENA
BLRW947361HCCGQY02,PAN
